,BRND_CD,MKT_LN_CD,stagnate,return,first_buy,rebuy,sales_total
2100,WL8,051,1,0,1,2,5.0
2101,WLB,004,1,1,0,0,-0.0181452
2102,WM8,049,1,0,8,0,1.5000300000000004
2103,WM8,274,1,0,2,0,0.2555443
2104,WMA,049,0,0,4,0,0.83335
2105,WMA,274,1,0,2,0,0.15332659999999998
2106,WO6,049,0,0,1,0,0.16667
2107,WO7,274,0,0,1,0,0.0511089
2108,WO8,049,0,0,3,0,0.5000100000000001
2109,WO8,274,0,0,1,0,0.0511089
2110,WPB,051,2,0,5,5,32.5
2111,WRD,049,1,0,4,0,0.66668
2112,WRE,049,1,0,3,0,0.5000100000000001
2113,WRE,274,0,0,4,0,0.2555444
2114,WRG,049,0,0,1,0,0.16667
2115,WS8,049,0,0,2,0,0.33334
2116,WSD,049,0,0,2,0,0.33334
2117,WSN,049,0,0,9,1,1.6667000000000005
2118,WSN,274,0,0,3,0,0.15332669999999998
2119,WSU,049,0,0,2,0,0.33334
2120,WTE,049,2,0,13,0,2.1667100000000006
2121,WTE,274,0,0,9,1,0.6133067
2122,WUR,049,0,0,1,0,0.16667
2123,WVM,049,0,1,0,0,-0.16667
2124,WW8,421,0,0,2,1,0.1536291
2125,WWG,049,0,0,0,4,9.50019
2126,WWH,049,0,0,7,0,1.1666900000000002
2127,WWH,421,0,0,3,0,0.1536291
2128,WWI,049,1,0,35,2,6.8334699999999975
2129,WWI,421,5,1,33,1,1.9971786000000005
2130,WWL,049,12,1,98,6,19.00037999999999
2131,WWL,421,7,0,31,5,1.9971788000000006
2132,WWN,031,22,0,53,71,26.201600399999972
2133,WWN,049,21,1,59,41,44.000880000000045
2134,WWN,051,8,0,45,25,67.5
2135,WWP,049,0,0,14,1,2.8333899999999996
2136,WWP,274,0,0,1,0,0.0511089
2137,WWR,049,3,0,6,1,1.5000300000000004
2138,WWR,274,1,0,1,0,0.0511089
2139,WWS,049,1,0,4,1,1.0000200000000001
2140,WWS,421,0,0,6,2,0.4224803
2141,WWT,049,1,0,14,0,2.5000500000000003
2142,WWT,274,0,0,5,0,0.2555445
2143,WWV,049,2,0,3,0,0.5000100000000001
2144,WWV,274,1,0,5,1,0.35776220000000003
2145,WWX,049,1,0,3,1,0.83335
2146,WWX,422,1,0,1,0,0.0511089
2147,WX6,049,0,0,2,0,0.33334
2148,WX7,049,0,0,6,0,1.0000200000000001
2149,WX7,421,0,0,3,0,0.1536291
2150,ZBK,003,12,0,21,37,20.3951539
2151,ZBK,004,146,0,217,481,232.4031345000003
2152,ZBK,025,3,0,5,0,0.798387
2153,ZBK,031,6,0,9,8,3.7741921000000005
2154,ZBK,040,17,0,20,106,103.9354891999999
2155,ZBK,051,74,0,101,817,4101.5
2156,ZBK,052,2,0,0,0,0.0
2157,ZBK,116,64,0,92,370,566.25
2158,ZBK,324,1,0,0,1,0.3780241
